year,director,actress,actor
1929,Frank Borzage,Janet Gaynor,Emil Jannings
1930,Frank Lloyd,Mary Pickford,Warner Baxter
1931,Lewis Milestone,Norma Shearer,George Arliss
1932,Skippy,Marie Dressler,Lionel Barrymore
1933,Bad Girl,Helen Hayes,Fredric March
1933,Bad Girl,Helen Hayes,Wallace Beery
1934,Cavalcade,Katharine Hepburn,Charles Laughton
1935,It Happened One Night,Claudette Colbert,Clark Gable
1936,The Informer,Bette Davis,Victor McLaglen
1937,Mr. Deeds Goes to Town,Luise Rainer,Paul Muni
1938,The Awful Truth,Luise Rainer,Spencer Tracy
1939,You Can't Take It with You,Bette Davis,Spencer Tracy
1940,Gone with the Wind,Vivien Leigh,Robert Donat
1941,The Grapes of Wrath,Ginger Rogers,James Stewart
1942,How Green Was My Valley,Joan Fontaine,Gary Cooper
1943,Mrs. Miniver,Greer Garson,James Cagney
1944,Casablanca,Jennifer Jones,Paul Lukas
1945,Going My Way,Ingrid Bergman,Bing Crosby
1946,The Lost Weekend,Joan Crawford,Ray Milland
1947,The Best Years of Our Lives,Olivia de Havilland,Fredric March
1948,Gentleman's Agreement,Loretta Young,Ronald Colman
1949,The Treasure of the Sierra Madre,Jane Wyman,Laurence Olivier
1950,A Letter to Three Wives,Olivia de Havilland,Broderick Crawford
1951,All about Eve,Judy Holliday,Jose Ferrer
1952,A Place in the Sun,Vivien Leigh,Humphrey Bogart
1953,The Quiet Man,Shirley Booth,Gary Cooper
1954,From Here to Eternity,Audrey Hepburn,William Holden
1955,On the Waterfront,Grace Kelly,Marlon Brando
1956,Marty,Anna Magnani,Ernest Borgnine
1957,Giant,Ingrid Bergman,Yul Brynner
1958,The Bridge on the River Kwai,Joanne Woodward,Alec Guinness
1959,Gigi,Susan Hayward,David Niven
1960,Ben-Hur,Simone Signoret,Charlton Heston
1962,,Sophia Loren,Maximilian Schell
1961,The Apartment,Elisabeth Taylor,Burt Lancaster
1963,West Side Story,Anne Bancroft,Gregory Peck
1964,Lawrence of Arabia,Patricia Neal,Sidney Poitier
1965,Tom Jones,Julie Andrews,Rex Harrison
1966,My Fair Lady,Julie Christie,Lee Marvin
1967,The Sound of Music,Elizabeth Taylor,Paul Scofield
1968,A Man for All Seasons,Katharine Hepburn,Rod Steiger
1969,The Graduate,Barbra Streisand,Cliff Robertson
1969,The Graduate,Katharine Hepburn,Cliff Robertson
1969,Midnight Cowboy,Barbra Streisand,Cliff Robertson
1969,Midnight Cowboy,Katharine Hepburn,Cliff Robertson
1970,Oliver!,Maggie Smith,John Wayne
1970,Patton,Maggie Smith,John Wayne
1971,The French Connection,Glenda Jackson,George C. Scott
1972,Cabaret,Jane Fonda,Gene Hackman
1973,The Sting,Liza Minnelli,Marlon Brando
1974,The Godfather Part II,Glenda Jackson,Jack Lemmon
1975,One Flew over the Cuckoo's Nest,Ellen Burstyn,Art Carney
1976,Rocky,Louise Fletcher,Jack Nicholson
1977,Annie Hall,Faye Dunaway,Peter Finch
1978,The Deer Hunter,Diane Keaton,Richard Dreyfuss
1979,Kramer vs. Kramer,Jane Fonda,Jon Voight
1980,Ordinary People,Sally Field,Dustin Hoffman
1981,Reds,Sissy Spacek,Robert De Niro
1982,Gandhi,Katharine Hepburn,Henry Fonda
1983,Terms of Endearment,Meryl Streep,Ben Kingsley
1984,Amadeus,Shirley MacLaine,Robert Duvall
1985,Out of Africa,Sally Field,F. Murray Abraham
1986,Platoon,Geraldine Page,William Hurt
1987,The Last Emperor,Marlee Matlin,Paul Newman
1988,Rain Man,Cher,Michael Douglas
1989,Born on the Fourth of July,Jodie Foster,Dustin Hoffman
1990,Dances With Wolves,Jessica Tandy,Daniel Day-Lewis
1991,The Silence of the Lambs,Kathy Bates,Jeremy Irons
1992,Unforgiven,Jodie Foster,Anthony Hopkins
1993,Schindler's List,Emma Thompson,Al Pacino
1994,Forrest Gump,Holly Hunter,Tom Hanks
1995,Braveheart,Jessica Lange,Tom Hanks
1996,The English Patient,Susan Sarandon,Nicolas Cage
1997,Titanic,Frances McDormand,Geoffrey Rush
1998,Saving Private Ryan,Helen Hunt,Jack Nicholson
1999,American Beauty,Gwyneth Paltrow,Roberto Benigni
2000,Traffic,Hilary Swank,Kevin Spacey
2001,A Beautiful Mind,Julia Roberts,Russell Crowe
2002,The Pianist,Halle Berry,Denzel Washington
2003,The Lord of the Rings: The Return of the King,Nicole Kidman,Adrien Brody
2004,Million Dollar Baby,Charlize Theron,Sean Penn
2005,Brokeback Mountain,Hilary Swank,Jamie Foxx
2006,The Departed,Reese Witherspoon,Philip Hoffman
2007,No Country for Old Men,Helen Mirren,Forest Whitaker
2008,Slumdog Millionaire,Marion Cotillard,Daniel Day-Lewis
2009,The Hurt Locker,Kate Winslet,Sean Penn
2010,The King's Speech,Sandra Bullock,Jeff Bridges
2011,The Artist,Natalie Portman,Colin Firth
2012,Life of Pi,Meryl Streep,Jean Dujardin
2013,Gravity,Jennifer Lawrence,Daniel Day-Lewis
2014,Birdman or (The Unexpected Virtue of Ignorance),Cate Blanchett,Matthew McConaughey
2015,The Revenant,Julianne Moore,Eddie Redmayne
2016,La La Land,Brie Larson,Leonardo Di Caprio
2017,The Shape of Water,Emma Stone,Casey Affleck
2018,Roma,Frances McDormand,Gary Oldman
2019,Parasite,Olivia Colman,Rami Malek
2020,Nomadland,,
2021,The Power of the Dog,,
2022,Everything Everywhere All at Once,,

