year,category,director,movie
1928,DIRECTING,Frank Borzage,7th Heaven
1929,DIRECTING,Frank Lloyd,The Divine Lady
1930,DIRECTING,Lewis Milestone,All Quiet on the Western Front
1931,DIRECTING,Norman Taurog,Skippy
1932,DIRECTING,Frank Borzage,Bad Girl
1933,DIRECTING,Frank Lloyd,Cavalcade
1934,DIRECTING,Frank Capra,It Happened One Night
1935,DIRECTING,John Ford,The Informer
1936,DIRECTING,Frank Capra,Mr. Deeds Goes to Town
1937,DIRECTING,Leo McCarey,The Awful Truth
1938,DIRECTING,Frank Capra,You Can't Take It with You
1939,DIRECTING,Victor Fleming,Gone with the Wind
1940,DIRECTING,John Ford,The Grapes of Wrath
1941,DIRECTING,John Ford,How Green Was My Valley
1942,DIRECTING,William Wyler,Mrs. Miniver
1943,DIRECTING,Michael Curtiz,Casablanca
1944,DIRECTING,Leo McCarey,Going My Way
1945,DIRECTING,Billy Wilder,The Lost Weekend
1946,DIRECTING,William Wyler,The Best Years of Our Lives
1947,DIRECTING,Elia Kazan,Gentleman's Agreement
1948,DIRECTING,John Huston,The Treasure of the Sierra Madre
1949,DIRECTING,Joseph L. Mankiewicz,A Letter to Three Wives
1950,DIRECTING,Joseph L. Mankiewicz,All about Eve
1951,DIRECTING,George Stevens,A Place in the Sun
1952,DIRECTING,John Ford,The Quiet Man
1953,DIRECTING,Fred Zinnemann,From Here to Eternity
1954,DIRECTING,Elia Kazan,On the Waterfront
1955,DIRECTING,Delbert Mann,Marty
1956,DIRECTING,George Stevens,Giant
1957,DIRECTING,David Lean,The Bridge on the River Kwai
1958,DIRECTING,Vincente Minnelli,Gigi
1959,DIRECTING,William Wyler,Ben-Hur
1960,DIRECTING,Billy Wilder,The Apartment
1961,DIRECTING,Robert Wise and Jerome Robbins,West Side Story
1962,DIRECTING,David Lean,Lawrence of Arabia
1963,DIRECTING,Tony Richardson,Tom Jones
1964,DIRECTING,George Cukor,My Fair Lady
1965,DIRECTING,Robert Wise,The Sound of Music
1966,DIRECTING,Fred Zinnemann,A Man for All Seasons
1967,DIRECTING,Mike Nichols,The Graduate
1968,DIRECTING,Carol Reed,Oliver!
1969,DIRECTING,John Schlesinger,Midnight Cowboy
1970,DIRECTING,Franklin J. Schaffner,Patton
1971,DIRECTING,William Friedkin,The French Connection
1972,DIRECTING,Bob Fosse,Cabaret
1973,DIRECTING,George Roy Hill,The Sting
1974,DIRECTING,Francis Ford Coppola,The Godfather Part II
1975,DIRECTING,Milos Forman,One Flew over the Cuckoo's Nest
1976,DIRECTING,John G. Avildsen,Rocky
1977,DIRECTING,Woody Allen,Annie Hall
1978,DIRECTING,Michael Cimino,The Deer Hunter
1979,DIRECTING,Robert Benton,Kramer vs. Kramer
1980,DIRECTING,Robert Redford,Ordinary People
1981,DIRECTING,Warren Beatty,Reds
1982,DIRECTING,Richard Attenborough,Gandhi
1983,DIRECTING,James L. Brooks,Terms of Endearment
1984,DIRECTING,Milos Forman,Amadeus
1985,DIRECTING,Sydney Pollack,Out of Africa
1986,DIRECTING,Oliver Stone,Platoon
1987,DIRECTING,Bernardo Bertolucci,The Last Emperor
1988,DIRECTING,Barry Levinson,Rain Man
1989,DIRECTING,Oliver Stone,Born on the Fourth of July
1990,DIRECTING,Kevin Costner,Dances With Wolves
1991,DIRECTING,Jonathan Demme,The Silence of the Lambs
1992,DIRECTING,Clint Eastwood,Unforgiven
1993,DIRECTING,Steven Spielberg,Schindler's List
1994,DIRECTING,Robert Zemeckis,Forrest Gump
1995,DIRECTING,Mel Gibson,Braveheart
1996,DIRECTING,Anthony Minghella,The English Patient
1997,DIRECTING,James Cameron,Titanic
1998,DIRECTING,Steven Spielberg,Saving Private Ryan
1999,DIRECTING,Sam Mendes,American Beauty
2000,DIRECTING,Steven Soderbergh,Traffic
2001,DIRECTING,Ron Howard,A Beautiful Mind
2002,DIRECTING,Roman Polanski,The Pianist
2003,DIRECTING,Peter Jackson,The Lord of the Rings: The Return of the King
2004,DIRECTING,Clint Eastwood,Million Dollar Baby
2005,DIRECTING,Ang Lee,Brokeback Mountain
2006,DIRECTING,Martin Scorsese,The Departed
2007,DIRECTING,Joel Coen and Ethan Coen,No Country for Old Men
2008,DIRECTING,Danny Boyle,Slumdog Millionaire
2009,DIRECTING,Kathryn Bigelow,The Hurt Locker
2010,DIRECTING,Tom Hooper,The King's Speech
2011,DIRECTING,Michel Hazanavicius,The Artist
2012,DIRECTING,Ang Lee,Life of Pi
2013,DIRECTING,Alfonso Cuarón,Gravity
2014,DIRECTING,Alejandro G. Iñárritu,Birdman or (The Unexpected Virtue of Ignorance)
2015,DIRECTING,Alejandro G. Iñárritu,The Revenant
2016,DIRECTING,Damien Chazelle,La La Land
2017,DIRECTING,Guillermo del Toro,The Shape of Water
2018,DIRECTING,Alfonso Cuarón,Roma
2019,DIRECTING,Bong Joon Ho,Parasite
2020,DIRECTING,Chloé Zhao,Nomadland
2021,DIRECTING,Jane Campion,The Power of the Dog
2022,DIRECTING,Daniel Kwan and Daniel Scheinert,Everything Everywhere All at Once

